minimax_color,alphabeta_color,depth_minimax,depth_alphabeta,outcome,winner
white,black,3,3,checkmate,white
white,black,3,3,checkmate,white
white,black,3,3,checkmate,white
white,black,3,3,checkmate,white
white,black,3,3,checkmate,white
white,black,3,3,checkmate,white
white,black,3,3,checkmate,white
white,black,3,3,checkmate,white
white,black,3,3,checkmate,white
white,black,3,3,checkmate,white
black,white,3,3,checkmate,white
black,white,3,3,checkmate,white
black,white,3,3,checkmate,white
black,white,3,3,checkmate,white
black,white,3,3,checkmate,white
black,white,3,3,checkmate,white
black,white,3,3,checkmate,white
black,white,3,3,checkmate,white
black,white,3,3,checkmate,white
black,white,3,3,checkmate,white
white,black,2,4,checkmate,white
white,black,2,4,checkmate,white
white,black,2,4,checkmate,white
white,black,2,4,checkmate,white
white,black,2,4,checkmate,white
white,black,2,4,checkmate,white
white,black,2,4,checkmate,white
white,black,2,4,checkmate,white
white,black,2,4,checkmate,white
white,black,2,4,checkmate,white
black,white,2,4,checkmate,white
black,white,2,4,checkmate,white
black,white,2,4,checkmate,white
black,white,2,4,checkmate,white
black,white,2,4,checkmate,white
black,white,2,4,checkmate,white
black,white,2,4,checkmate,white
black,white,2,4,checkmate,white
black,white,2,4,checkmate,white
black,white,2,4,checkmate,white
white,black,4,2,checkmate,black
white,black,4,2,checkmate,black
white,black,4,2,checkmate,black
white,black,4,2,checkmate,black
white,black,4,2,checkmate,black
white,black,4,2,checkmate,black
white,black,4,2,checkmate,black
white,black,4,2,checkmate,black
white,black,4,2,checkmate,black
white,black,4,2,checkmate,black
black,white,4,2,fivefold_repetition,
black,white,4,2,fivefold_repetition,
black,white,4,2,fivefold_repetition,
black,white,4,2,fivefold_repetition,
black,white,4,2,fivefold_repetition,
black,white,4,2,fivefold_repetition,
black,white,4,2,fivefold_repetition,
black,white,4,2,fivefold_repetition,
black,white,4,2,fivefold_repetition,
black,white,4,2,fivefold_repetition,
black,white,4,5,checkmate,white
black,white,4,5,checkmate,white
black,white,4,5,checkmate,white
black,white,4,5,checkmate,white
black,white,4,5,checkmate,white
black,white,4,5,checkmate,white
black,white,4,5,checkmate,white
black,white,4,5,checkmate,white
black,white,4,5,checkmate,white
black,white,4,5,checkmate,white
black,white,5,4,fivefold_repetition,
black,white,5,4,fivefold_repetition,
black,white,5,4,fivefold_repetition,
black,white,5,4,fivefold_repetition,
black,white,5,4,fivefold_repetition,
black,white,5,4,fivefold_repetition,
black,white,5,4,fivefold_repetition,
black,white,5,4,fivefold_repetition,
black,white,5,4,fivefold_repetition,
black,white,5,4,fivefold_repetition,
white,black,4,5,checkmate,white
white,black,4,5,checkmate,white
white,black,4,5,checkmate,white
white,black,4,5,checkmate,white
white,black,4,5,checkmate,white
white,black,4,5,checkmate,white
white,black,4,5,checkmate,white
white,black,4,5,checkmate,white
white,black,4,5,checkmate,white
white,black,4,5,checkmate,white
white,black,5,4,fivefold_repetition,
white,black,5,4,fivefold_repetition,
white,black,5,4,fivefold_repetition,
white,black,5,4,fivefold_repetition,
white,black,5,4,fivefold_repetition,
white,black,5,4,fivefold_repetition,
white,black,5,4,fivefold_repetition,
white,black,5,4,fivefold_repetition,
white,black,5,4,fivefold_repetition,
white,black,5,4,fivefold_repetition,
